owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,package_downloads_start,package_downloads_end,package_downloads_growth_rate,package_downloads_growth_percentile,package_downloads_final_weight
MDEyOk9yZ2FuaXphdGlvbjc5MTQ2MDAz,mantinedev,Mantine,https://github.com/mantinedev,https://mantine.dev/,UI library that you deserve,https://avatars.githubusercontent.com/u/79146003?v=4,2026-01-01,2026-04-01,4698.0,5404.0,0.1502767134951043,95.04072134962188,1.0,8.0,23.0,1.3,99.60258584145824,1.0,441344312.0,520236931.0,0.1787552639853666,71.36706135629709,1.0
O_kgDODkU9NQ,MemoriLabs,Memori Labs,https://github.com/MemoriLabs,https://memorilabs.ai/,,https://avatars.githubusercontent.com/u/239418677?v=4,2026-01-01,2026-04-01,11466.0,13217.0,0.1527123669980812,95.16433973240257,1.0,18.0,30.0,0.6666666666666666,99.06740144128868,1.0,64052.0,138984.0,1.1698619871354523,97.50627915321134,1.0
O_kgDOCVWYTw,crystaldba,Crystal DBA,https://github.com/crystaldba,https://www.crystaldba.ai/,,https://avatars.githubusercontent.com/u/156604495?v=4,2026-01-01,2026-04-01,1745.0,2491.0,0.4275071633237822,98.56020942408377,1.0,5.0,10.0,0.0,18.25455701568461,1.0,110440.0,481091.0,3.3561300253531328,99.28238249013276,1.0
O_kgDODE8xjw,sqliteai,SQLite AI,https://github.com/sqliteai,https://sqlite.ai,The Edge AI company.,https://avatars.githubusercontent.com/u/206516623?v=4,2026-01-01,2026-04-01,1479.0,1928.0,0.3035835023664638,97.956660849331,1.0,9.0,12.0,0.2,94.47859262399322,1.0,34170.0,116398.0,2.406438396254024,98.94151417294582,1.0
O_kgDODsWtfw,dembrandt,Dembrandt,https://github.com/dembrandt,dembrandt.com,Extract Design Systems Instantly,https://avatars.githubusercontent.com/u/247836031?v=4,2026-01-01,2026-04-01,1142.0,1609.0,0.4089316987740806,98.49476439790575,1.0,2.0,2.0,-0.8,,,2421.0,43200.0,3.32,99.26444205238607,1.0
MDEyOk9yZ2FuaXphdGlvbjI5MDQzNDE1,catboost,CatBoost,https://github.com/catboost,catboost.ai,"CatBoost is a fast, scalable, high performance gradient boosting on decision trees library. Used for ranking, classification, regression and other ML tasks.",https://avatars.githubusercontent.com/u/29043415?v=4,2026-01-01,2026-04-01,10103.0,10274.0,0.0169256656438681,47.45491564863293,1.0,13.0,33.0,1.5384615384615383,99.6820686731666,1.0,174890135.0,191763553.0,0.0964801016363787,50.843200574094006,1.0
O_kgDOB8d5LQ,daytonaio,Daytona,https://github.com/daytonaio,https://www.daytona.io,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code.,https://avatars.githubusercontent.com/u/130513197?v=4,2026-01-01,2026-04-01,41958.0,71228.0,0.6976023642690309,99.2001163467132,1.0,236.0,247.0,0.0466101694915254,60.67189487070793,1.0,3174090.0,9657841.0,2.0427117693575165,98.70828848223896,1.0
O_kgDOCk24Aw,ax-llm,Ax,https://github.com/ax-llm,,,https://avatars.githubusercontent.com/u/172865539?v=4,2026-01-01,2026-04-01,2344.0,2512.0,0.0716723549488054,87.35456660849331,1.0,28.0,29.0,0.0357142857142857,53.61911827045358,1.0,51966.0,293752.0,4.6527729669399225,99.5156081808396,1.0
O_kgDODdnGfQ,Nano-Collective,Nano Collective,https://github.com/Nano-Collective,https://nanocollective.org,"We're a collective building open-source AI. Our goal is to create powerful, privacy-first tools, developed by the community for the community.",https://avatars.githubusercontent.com/u/232375933?v=4,2026-01-01,2026-04-01,1086.0,1613.0,0.4852670349907919,98.74200116346714,1.0,28.0,36.0,0.2857142857142857,96.64582450190758,1.0,7147.0,23957.0,1.3957,98.06243272335846,1.0
O_kgDODW2ooA,openagents-org,openagents-org,https://github.com/openagents-org,,,https://avatars.githubusercontent.com/u/225290400?v=4,2026-01-01,2026-04-01,1429.0,3059.0,1.1406578026592022,99.51279813845258,1.0,11.0,13.0,0.1818181818181818,93.49830436625687,1.0,39431.0,68394.0,0.7345235981841698,95.01255830642268,1.0
